Nodo,Grupo
05FZA-115,0
04FMA-115,2
05AEP-115,2
06PRY-115,0
02SNS-115,3
03SLD-230,4
08PPO-115,3
03ING-69,4
06LBR-115,0
02LAV-400,3
02CJT-115,3
03IMP-115,4
03CNS-69,4
03RIG-115,4
05DGN-115,0
06RIB-138,0
04DYN-115,2
05SFB-115,2
04ORI-115,2
03AYL-115,4
03GKN-115,4
01PXA-85,3
05LGS-115,0
04EFR-230,2
02CIV-115,3
06MON-230,0
02ADD-115,3
01XOC-230,3
01TQC-115,3
08LAC-115,3
06MTN-115,0
05AMN-115,0
03GUD-69,4
06OVO-115,0
01TYA-230,3
03HYL-69,4
05LEX-115,2
02MDB-230,3
02MTL-115,3
03MIL-69,4
04TSR-115,2
06CYC-115,0
06MMD-230,0
02TPS-115,3
03COC-69,4
04CBA-115,2
03VYQ-115,4
05FXD-115,2
02RNA-115,3
03SPL-115,4
03NKA-69,4
04CUN-115,2
06MIG-138,0
04COC-115,2
03ZID-115,4
08SLC-230,3
01JDV-85,3
02ECM-115,3
03APZ-115,4
04LCH-115,2
05ISD-115,2
02MHT-115,3
06CMN-115,0
03UPT-115,4
05ALT-115,2
02TTP-115,3
06TMO-115,0
02CNJ-115,3
06CDT-115,0
02LMX-115,3
01AUR-230,3
01ATE-85,3
06PBS-115,0
03SEI-115,4
04CUS-115,2
01CTT-85,3
02KIM-115,3
02OWC-115,3
08CBU-115,3
06AUA-138,0
01NAU-85,3
05ARM-115,2
01ECA-230,3
01IXL-230,3
05CEJ-115,2
08NIZ-115,1
03ZLT-69,4
01ATU-115,3
05TBL-115,2
03TSM-115,4
05OAS-115,2
04SBK-115,2
05VEZ-115,2
06REY-138,0
03VAR-115,4
03MXT-115,4
02LRZ-115,3
04CUT-115,2
02MRO-115,3
05LEO-115,2
03LAS-115,4
03DEO-115,4
02PUE-115,3
06ALM-115,0
05DGD-115,0
01AVT-85,3
06POL-115,0
04GSV-115,2
08CAS-115,3
05SGP-115,4
02MID-400,3
06CYN-115,0
03LRE-115,4
03ABL-115,4
02HCO-115,3
03PUU-69,4
01TDK-230,3
02RBO-115,3
06LDC-115,0
06CIM-138,0
