"Nodo","Fecha","Hora","pml"
"05FZA-115","2024-12-01","1","565.06"
"05FZA-115","2024-12-01","2","465.03"
"05FZA-115","2024-12-01","3","446.18"
"05FZA-115","2024-12-01","4","439.02"
"05FZA-115","2024-12-01","5","438.42"
"05FZA-115","2024-12-01","6","437.74"
"05FZA-115","2024-12-01","7","443.25"
"05FZA-115","2024-12-01","8","428.03"
"05FZA-115","2024-12-01","9","407.39"
"05FZA-115","2024-12-01","10","343.26"
"05FZA-115","2024-12-01","11","329.15"
"05FZA-115","2024-12-01","12","347.54"
"05FZA-115","2024-12-01","13","391.48"
"05FZA-115","2024-12-01","14","393.63"
"05FZA-115","2024-12-01","15","397.15"
"05FZA-115","2024-12-01","16","397.24"
"05FZA-115","2024-12-01","17","413.99"
"05FZA-115","2024-12-01","18","500.4"
"05FZA-115","2024-12-01","19","578.01"
"05FZA-115","2024-12-01","20","611.77"
"05FZA-115","2024-12-01","21","567.53"
"05FZA-115","2024-12-01","22","588.31"
"05FZA-115","2024-12-01","23","557.69"
"05FZA-115","2024-12-01","24","495.73"
"05FZA-115","2024-12-02","1","438.77"
"05FZA-115","2024-12-02","2","428"
"05FZA-115","2024-12-02","3","401.11"
"05FZA-115","2024-12-02","4","396.95"
"05FZA-115","2024-12-02","5","401.1"
"05FZA-115","2024-12-02","6","418.42"
"05FZA-115","2024-12-02","7","464.07"
"05FZA-115","2024-12-02","8","480.76"
"05FZA-115","2024-12-02","9","442.41"
"05FZA-115","2024-12-02","10","430.72"
"05FZA-115","2024-12-02","11","448.19"
"05FZA-115","2024-12-02","12","461.59"
"05FZA-115","2024-12-02","13","477.63"
"05FZA-115","2024-12-02","14","475.67"
"05FZA-115","2024-12-02","15","476.07"
"05FZA-115","2024-12-02","16","503.3"
"05FZA-115","2024-12-02","17","550.81"
"05FZA-115","2024-12-02","18","768.35"
"05FZA-115","2024-12-02","19","611.54"
"05FZA-115","2024-12-02","20","973.1"
"05FZA-115","2024-12-02","21","711.96"
"05FZA-115","2024-12-02","22","1029.55"
"05FZA-115","2024-12-02","23","582.13"
"05FZA-115","2024-12-02","24","537.32"
"05FZA-115","2024-12-03","1","520.69"
"05FZA-115","2024-12-03","2","489.25"
"05FZA-115","2024-12-03","3","462.77"
"05FZA-115","2024-12-03","4","455.52"
"05FZA-115","2024-12-03","5","450.73"
"05FZA-115","2024-12-03","6","464.01"
"05FZA-115","2024-12-03","7","495.28"
"05FZA-115","2024-12-03","8","507.17"
"05FZA-115","2024-12-03","9","483.79"
"05FZA-115","2024-12-03","10","461.96"
"05FZA-115","2024-12-03","11","440.26"
"05FZA-115","2024-12-03","12","432.24"
"05FZA-115","2024-12-03","13","420.06"
"05FZA-115","2024-12-03","14","443.39"
"05FZA-115","2024-12-03","15","455.17"
"05FZA-115","2024-12-03","16","483.61"
"05FZA-115","2024-12-03","17","562.42"
"05FZA-115","2024-12-03","18","639.7"
"05FZA-115","2024-12-03","19","1022.51"
"05FZA-115","2024-12-03","20","742.88"
"05FZA-115","2024-12-03","21","731.75"
"05FZA-115","2024-12-03","22","636.8"
"05FZA-115","2024-12-03","23","602.03"
"05FZA-115","2024-12-03","24","521.4"
"05FZA-115","2024-12-04","1","554.84"
"05FZA-115","2024-12-04","2","525.09"
"05FZA-115","2024-12-04","3","536.73"
"05FZA-115","2024-12-04","4","538.32"
"05FZA-115","2024-12-04","5","529.38"
"05FZA-115","2024-12-04","6","539.75"
"05FZA-115","2024-12-04","7","590.96"
"05FZA-115","2024-12-04","8","699.7"
"05FZA-115","2024-12-04","9","578.97"
"05FZA-115","2024-12-04","10","529.84"
"05FZA-115","2024-12-04","11","507.14"
"05FZA-115","2024-12-04","12","508.16"
"05FZA-115","2024-12-04","13","551.5"
"05FZA-115","2024-12-04","14","552.68"
"05FZA-115","2024-12-04","15","544.92"
"05FZA-115","2024-12-04","16","640.28"
"05FZA-115","2024-12-04","17","660.64"
"05FZA-115","2024-12-04","18","721.25"
