"Fecha","Hora","05FZA-115","04FMA-115","05AEP-115","06PRY-115","02SNS-115","03SLD-230","08PPO-115","03ING-69","06LBR-115","02LAV-400","02CJT-115","03IMP-115","03CNS-69","03RIG-115","05DGN-115","06RIB-138","04DYN-115","05SFB-115","04ORI-115","03AYL-115","03GKN-115","01PXA-85","05LGS-115","04EFR-230","02CIV-115","06MON-230","02ADD-115","01XOC-230","01TQC-115","08LAC-115","06MTN-115","05AMN-115","03GUD-69","06OVO-115","01TYA-230","03HYL-69","05LEX-115","02MDB-230","02MTL-115","03MIL-69","04TSR-115","06CYC-115","06MMD-230","02TPS-115","03COC-69","04CBA-115","03VYQ-115","05FXD-115","02RNA-115","03SPL-115","03NKA-69","04CUN-115","06MIG-138","04COC-115","03ZID-115","08SLC-230","01JDV-85","02ECM-115","03APZ-115","04LCH-115","05ISD-115","02MHT-115","06CMN-115","03UPT-115","05ALT-115","02TTP-115","06TMO-115","02CNJ-115","06CDT-115","02LMX-115","01AUR-230","01ATE-85","06PBS-115","03SEI-115","04CUS-115","01CTT-85","02KIM-115","02OWC-115","08CBU-115","06AUA-138","01NAU-85","05ARM-115","01ECA-230","01IXL-230","05CEJ-115","08NIZ-115","03ZLT-69","01ATU-115","05TBL-115","03TSM-115","05OAS-115","04SBK-115","05VEZ-115","06REY-138","03VAR-115","03MXT-115","02LRZ-115","04CUT-115","02MRO-115","05LEO-115","03LAS-115","03DEO-115","02PUE-115","06ALM-115","05DGD-115","01AVT-85","06POL-115","04GSV-115","08CAS-115","05SGP-115","02MID-400","06CYN-115","03LRE-115","03ABL-115","02HCO-115","03PUU-69","01TDK-230","02RBO-115","06LDC-115","06CIM-138"
"2024-12-01","1",565.06,481.66,383.84,453.56,910.54,852.83,1077.45,939.15,937.86,899.27,1029.6,866.26,815.56,808.66,566.21,447.25,469.85,481.01,493.38,810.56,865.66,917.94,564.49,424.44,930.14,461.86,964.48,918.71,927.36,1063.27,771.77,655.26,810.9,1040.38,922.41,817.35,385.88,916.93,987.37,826.49,553.95,514.5,907.78,939.77,815.53,477.24,907.52,387.06,920.58,839.25,810.88,554.53,456.08,487.49,853.24,1008.43,926.33,932.4,877.39,492.78,443.43,992.02,462.66,862.31,445.3,957.17,908.89,977.29,766.1,967.42,915.62,927.43,578.95,861.98,556.64,922.71,931.2,923.93,1044.69,442.58,918.35,469.7,913.71,916.08,386.26,1067.27,813.42,921.08,444,861.98,496.11,486.91,421.78,449.6,904.13,843.73,917.58,553.84,908.68,456.38,808.27,862.23,1069.34,499.96,630.46,927.94,910.62,513.66,1031.43,704.19,958.56,753.29,811.73,844.82,992.7,926.9,926.94,933.03,906,440
"2024-12-01","2",465.03,413.33,366.18,433.44,557.52,541.56,660.7,591.78,561.91,552.08,631.48,550.56,530.72,542.99,463.8,426.87,407.68,430.46,424.8,525.22,546.5,566.74,461.91,387.67,574.19,433.93,592.14,566.99,575.75,650.84,506.57,484.7,527.2,563.86,569.76,531,367.41,565.36,610.88,536.8,451.14,451.53,541.26,577.33,529.75,415.45,568.33,368.07,565.98,538.62,528.8,451.48,432.12,414.76,544.16,618.13,572.23,573.81,556.9,424.45,407.18,608.34,436.03,548.37,408.09,588.55,542.41,599.08,497.9,593.21,564.98,573.21,460.15,547.4,452.74,570.02,573.09,569.44,639.89,425.95,567.04,421.14,563.92,565.21,367.94,653.28,529.18,571.22,407.53,545.29,437.19,417.86,391.19,428.23,572.92,547.85,565.93,451.08,557.7,415.41,537.95,545.35,655.23,446.51,469.34,573.54,542.72,427.51,631.94,514.75,588.67,495.35,528.74,540.41,608.45,584.69,572.74,574.24,539.52,422.81
"2024-12-01","3",446.18,390.6,352.17,425.29,512.39,502.39,605.03,545.49,515.84,507.75,581.09,509.15,493,507.94,445.12,418.61,385.45,414.5,400.77,488.12,506.19,521.45,443.57,367.45,528.24,424.85,545.26,521.64,530.19,596.32,472.99,458.63,489.86,508.44,524.25,493.31,353.3,520.11,560.94,498.45,424.67,438.8,497.15,531.07,492.12,392.4,524.41,353.83,520.18,499.98,491.34,424.96,423.26,391.7,504.03,567.85,526.38,527.66,514.68,400.46,393.16,558.69,427.12,507.24,393.7,541.44,498.09,549.89,464.15,544.93,519.82,527.43,441.75,507.8,426.12,524.43,527.09,523.77,586.83,420.38,521.75,405.8,518.84,520.03,353.93,597.89,491.45,526,393.47,504.05,420.43,394.49,376.26,419.83,530.97,509.27,520.66,424.61,513.16,400.59,502.36,504.05,600.36,434.95,444.62,527.72,498.47,403.09,579.89,485.75,542.13,462.65,491.34,500.66,558.32,539.08,527,527.98,495.58,414.84
"2024-12-01","4",439.02,384.03,343.33,420.1,500.95,492.38,586.78,532.71,505.16,495.07,563.33,498.13,483.35,498.21,438.03,413.69,378.64,405.19,392.85,479.8,496.02,509.02,436.7,360.36,515.34,419.4,528.58,509.17,517.6,578.02,464.66,450.58,480.32,497.33,511.71,483.72,344.44,507.78,546.79,488.66,417.6,432.75,487.11,516.24,482.54,384.83,512.53,344.91,508.1,489.88,481.66,417.86,418.07,385.5,493.55,550.06,513.96,513.9,503.32,392.56,384.34,542.73,421.79,496.29,384.83,527.56,487.96,533.13,456.11,527.98,507.45,514.83,435.39,497.52,418.96,512.1,513.34,511.37,568.21,416.77,509.34,396.84,506.53,507.65,345.07,580.68,481.78,513.77,384.64,493.29,410.85,387.53,367.64,414.86,520.3,499.37,507.74,417.53,497.9,391.49,492.67,493.27,582.49,429.22,436.94,515.11,488.42,397.02,561.76,475.92,525.68,454.72,481.68,490.24,541.4,526.61,514.43,514.23,485.65,410.04
"2024-12-01","5",438.42,375.52,338.48,419.86,500.85,493.42,584.17,532.69,506.47,494.76,562.45,498.71,484.13,499.08,437.63,413.43,370.39,402.25,384.76,480.57,497.31,509.19,436.4,352.49,515.28,418.95,527.46,509.28,517.56,576.32,465.37,450.76,481.19,499.3,511.87,484.59,339.59,507.85,546.23,489.44,407.45,432.62,488.73,515.71,483.44,376.67,513.56,340.03,508.11,491,482.45,407.71,417.65,376.63,494.42,548.5,514.12,513.6,503.75,384.47,381.02,541.62,421.55,496.89,381.45,527.53,489.4,531.21,457.09,526.44,507.57,514.95,435.63,498.45,408.78,512.28,513.03,511.41,566.27,416.7,509.51,393.96,506.67,507.76,340.22,579.68,482.57,514.05,381.32,494.1,408.12,379.29,363.13,414.55,521.93,500.6,507.65,407.37,496.91,388.3,493.54,494.09,580.02,429.13,437.21,515.23,489.99,387.55,560.14,474.23,524.67,455.65,482.53,491.01,539.39,526.85,514.57,513.95,487.32,409.79
"2024-12-01","6",437.74,376.29,338.38,419.76,504.39,562.05,588.47,534.17,505.01,498.99,572.1,499.69,483.5,498.82,436.76,413.07,371.37,402.18,386.88,479.64,499.59,513.24,435.49,354.32,519.36,418.8,534.1,513.41,520.91,582.46,464.89,448.59,480.55,498.43,515.84,483.97,339.5,512.03,549.73,488.84,410.04,432.4,488.84,521.43,482.91,378.65,525.04,339.93,512.03,491.73,481.73,410.31,417.29,377.35,495.5,555.05,517.91,519.01,504.6,386.59,381.03,547.59,421.43,497.86,381.5,533.03,489.97,536.9,456.46,532.79,511.7,518.85,435.34,560.35,411.45,516.12,518.32,515.6,572.49,416.78,513.56,394.02,510.8,511.9,340.11,585.99,482.01,517.93,381.31,495.27,408.26,380.28,363.4,414.18,600.5,501.63,512.14,409.98,503.42,388.41,493.36,495.24,583.95,428.97,434.84,519.12,490.23,388.29,566.56,471.18,531.14,455.05,482.1,491.72,544.8,528.43,518.46,519.42,487.4,409.33
"2024-12-01","7",443.25,375.79,341.26,427.55,500.72,561.57,573.52,534.61,501.16,494.25,601.83,499.25,483.74,499.74,442.51,420.65,371.02,404.91,387.06,480.02,498.32,509.98,440.7,354.78,515.71,426.02,525.2,509.91,521.74,569.46,464.36,451.77,480.61,489.81,512.6,483.94,342.4,508.28,547.02,488.91,408.12,438.73,484.48,514.79,482.93,378.75,524.09,342.82,508.45,490.95,482.08,408.38,424.93,376.48,495.13,542.94,514.47,513.56,504.04,386.77,384.31,541.68,428.99,497.41,384.88,528.79,485.62,529.14,455.37,523.1,508.18,515.48,439.69,559.81,409.5,512.72,512.89,511.69,559.95,423.72,510.32,397.69,507.4,508.35,342.84,573.72,482.29,515.02,384.62,494.64,412.05,379.94,366.11,421.76,600.1,502.28,507.73,408.06,495.37,391.73,493.7,494.59,577.26,435.71,438.28,515.74,485.84,386.87,554.41,474.44,522.42,454.34,482.45,491.51,537.31,529.23,515.07,514,482.98,416.96
"2024-12-01","8",428.03,374.42,340.51,418.62,468.28,515.93,528.36,501.61,466.38,461.6,552.26,469.01,455.51,469.48,426.67,412.34,369.46,399.62,384.53,453.56,467.12,476.82,425.29,353.69,481.71,416.77,487.16,476.69,487.08,524.2,437.82,431.79,452.62,447.38,479.31,455.73,341.6,472.5,510.68,459.81,402.21,426.16,450.45,478.74,454.81,376.56,488.6,341.99,473.51,460.16,454.06,402.43,416.31,375.24,466.35,496.46,480.88,478.6,473.41,384.25,380.51,502.9,419.53,467.27,381.13,493.11,451.84,490.53,428.6,483.96,475.09,481.88,423.67,514.43,403.35,479.26,477.87,475.76,516.4,415.2,477.2,392.33,474.38,475.25,341.83,533.49,454,481.09,380.83,464.13,405.89,378.14,363.62,413.35,549.9,471.42,473.95,402.12,459.46,387.59,462.41,464.1,534.64,423.9,419.49,482.12,451.67,385.12,511.05,453.61,484.75,428.29,454.09,461.76,498.19,497.21,481.48,479.03,448.85,409.13
"2024-12-01","9",407.39,346.43,314.66,412.41,440.33,473.62,488.54,472.13,438.39,435.35,517.03,441.13,428.19,440.71,406.16,407.52,340.44,374.65,348.66,428.41,438.43,449.35,404.69,325.33,453.77,408.98,456.53,449.21,458.09,487.22,421.87,408.34,425.45,419.03,451.44,428.31,315.77,441.08,481.45,432.14,378.78,415.39,423.45,449.88,427.47,342.9,456.14,316.12,442.33,431.22,426.71,378.99,410.46,349.36,437.96,457.07,452.85,450.21,445.27,348.38,357.03,472.71,413.06,439.4,357.23,465.71,424.84,460.95,413.16,453.44,447.71,453.75,413.78,472.38,379.88,451.3,449.36,444.4,480.04,406.04,449.57,368.15,446.99,447.89,311.56,497.18,426.71,452.5,357.32,436.14,379.36,348.44,337.61,408.43,499.06,440.17,446.27,378.69,430.9,363.45,431.6,436.13,503.45,414.6,396.19,453.97,424.63,362.53,474.66,429.44,454.33,413.19,426.73,433.98,468.34,468.32,453.41,450.66,421.92,404.78
"2024-12-01","10",343.26,164.18,-18.98,374.33,386.72,372.27,429.18,407.52,386.22,383.8,454.67,380.71,364.52,377.01,356.53,370.94,146.06,2.54,111.5,365.54,379.15,393.53,353.79,95.53,397.58,377.76,402.84,393.63,400.4,429.33,381.24,337.74,363.22,374.33,395.28,365.64,-17.65,385.72,420.65,368.84,266.04,373.64,373.22,396.08,365.01,113.15,391.23,-17.64,387.94,372.46,363,266.3,376.5,189.15,377.37,402.65,396.44,396.19,384.2,111.24,-12.79,415.92,374.7,379.11,-11.1,409.68,374.4,405.85,374.86,400.32,392.33,397.57,375.32,374.69,267.63,395.06,395.36,389.28,423.88,381.87,393.7,-11.72,391.58,392.53,-28.19,438.85,365.55,395.63,-12.59,377.16,-1.36,152.77,1.06,372.28,383.1,378.63,391.78,266.05,379.35,-7.77,369.79,377.18,442.37,373.36,326.88,397.6,374.32,234.66,418.37,355.84,400.76,374.91,362.68,373.25,412.23,404.19,396.94,396.62,371.96,368.44
