Nodo,Grupo
05FZA-115,4
04FMA-115,0
05AEP-115,4
06PRY-115,4
02SNS-115,1
03SLD-230,2
08PPO-115,6
03ING-69,2
06LBR-115,4
02LAV-400,1
02CJT-115,1
03IMP-115,2
03CNS-69,2
03RIG-115,2
05DGN-115,4
06RIB-138,4
04DYN-115,0
05SFB-115,4
04ORI-115,0
03AYL-115,2
03GKN-115,2
01PXA-85,2
05LGS-115,4
04EFR-230,0
02CIV-115,1
06MON-230,4
02ADD-115,1
01XOC-230,2
01TQC-115,2
08LAC-115,6
06MTN-115,4
05AMN-115,4
03GUD-69,2
06OVO-115,4
01TYA-230,2
03HYL-69,2
05LEX-115,4
02MDB-230,1
02MTL-115,1
03MIL-69,2
04TSR-115,0
06CYC-115,4
06MMD-230,4
02TPS-115,1
03COC-69,2
04CBA-115,0
03VYQ-115,2
05FXD-115,4
02RNA-115,1
03SPL-115,2
03NKA-69,2
04CUN-115,0
06MIG-138,4
04COC-115,0
03ZID-115,2
08SLC-230,6
01JDV-85,2
02ECM-115,1
03APZ-115,2
04LCH-115,0
05ISD-115,4
02MHT-115,1
06CMN-115,4
03UPT-115,2
05ALT-115,4
02TTP-115,1
06TMO-115,4
02CNJ-115,1
06CDT-115,4
02LMX-115,1
01AUR-230,2
01ATE-85,2
06PBS-115,4
03SEI-115,2
04CUS-115,0
01CTT-85,2
02KIM-115,1
02OWC-115,3
08CBU-115,6
06AUA-138,4
01NAU-85,2
05ARM-115,4
01ECA-230,2
01IXL-230,2
05CEJ-115,4
08NIZ-115,5
03ZLT-69,2
01ATU-115,2
05TBL-115,4
03TSM-115,2
05OAS-115,4
04SBK-115,0
05VEZ-115,4
06REY-138,4
03VAR-115,2
03MXT-115,2
02LRZ-115,1
04CUT-115,0
02MRO-115,1
05LEO-115,4
03LAS-115,2
03DEO-115,2
02PUE-115,1
06ALM-115,4
05DGD-115,4
01AVT-85,2
06POL-115,4
04GSV-115,0
08CAS-115,6
05SGP-115,4
02MID-400,1
06CYN-115,4
03LRE-115,2
03ABL-115,2
02HCO-115,1
03PUU-69,2
01TDK-230,2
02RBO-115,1
06LDC-115,4
06CIM-138,4
